sku,links
WSTHRPART000001,https://www.webstaurantstore.com/regency-nsf-mobile-green-wire-security-cage-kit-24-x-60-x-69/460GSC2460KM.html
WSTHRPART000002,https://www.webstaurantstore.com/regency-nsf-mobile-chrome-wire-security-cage-kit-24-x-60-x-69/460CSC2460KM.html
WSTHRPART000003,https://www.webstaurantstore.com/regency-nsf-mobile-green-wire-security-cage-kit-24-x-48-x-69/460GSC2448KM.html
WSTHRPART000004,https://www.webstaurantstore.com/regency-nsf-mobile-chrome-wire-security-cage-kit-24-x-48-x-69/460CSC2448KM.html
WSTHRPART000005,https://www.webstaurantstore.com/regency-nsf-mobile-green-wire-security-cage-kit-18-x-48-x-69/460GSC1848KM.html
WSTHRPART000006,https://www.webstaurantstore.com/regency-nsf-mobile-chrome-wire-security-cage-kit-18-x-48-x-69/460CSC1848KM.html
WSTHRPART000007,https://www.webstaurantstore.com/regency-nsf-mobile-green-wire-security-cage-kit-18-x-36-x-69/460GSC1836KM.html
WSTHRPART000008,https://www.webstaurantstore.com/regency-nsf-mobile-chrome-wire-security-cage-kit-18-x-36-x-69/460CSC1836KM.html
WSTHRPART000009,https://www.webstaurantstore.com/regency-nsf-mobile-green-wire-security-cage-kit-24-x-36-x-69/460GSC2436KM.html
WSTHRPART000010,https://www.webstaurantstore.com/regency-nsf-mobile-chrome-wire-security-cage-kit-24-x-36-x-69/460CSC2436KM.html
WSTHRPART000011,https://www.webstaurantstore.com/regency-nsf-mobile-green-wire-security-cage-kit-18-x-60-x-69/460GSC1860KM.html
WSTHRPART000012,https://www.webstaurantstore.com/regency-nsf-mobile-chrome-wire-security-cage-kit-18-x-60-x-69/460CSC1860KM.html
